         12034466 function calls (12015644 primitive calls) in 89.406 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  373/372    0.002    0.000    0.008    0.000 transforms.py:1791(__eq__)
      303    0.002    0.000    0.196    0.001 widget.py:473(send_state)
     9856    0.002    0.000    0.002    0.000 artist.py:266(axes)
     1929    0.002    0.000    0.006    0.000 contextlib.py:279(helper)
      463    0.002    0.000    0.002    0.000 font_manager.py:826(set_weight)
      176    0.002    0.000    0.002    0.000 ticker.py:1879(scale_range)
  762/758    0.002    0.000    0.015    0.000 _base.py:765(_unstale_viewLim)
     2454    0.002    0.000    0.003    0.000 {built-in method builtins.any}
      317    0.002    0.000    0.010    0.000 session.py:670(sign)
     2038    0.002    0.000    0.018    0.000 <__array_function__ internals>:2(amin)
       41    0.002    0.000    0.053    0.001 axis.py:57(__init__)
     1634    0.002    0.000    0.002    0.000 __init__.py:823(clean)
     5503    0.002    0.000    0.002    0.000 transforms.py:1052(get_points)
      100    0.002    0.000    0.235    0.002 std.py:1197(update)
      730    0.002    0.000    0.005    0.000 ticker.py:577(__call__)
     2048    0.002    0.000    0.016    0.000 <__array_function__ internals>:2(amax)
1929/1859    0.002    0.000    0.015    0.000 contextlib.py:130(__enter__)
     1162    0.002    0.000    0.049    0.000 <__array_function__ internals>:2(dot)
      317    0.002    0.000    0.002    0.000 {method 'copy' of '_hashlib.HMAC' objects}
      182    0.002    0.000    0.010    0.000 transforms.py:487(transformed)
      317    0.002    0.000    0.010    0.000 session.py:644(msg)
     1268    0.002    0.000    0.002    0.000 {method 'update' of '_hashlib.HMAC' objects}
      493    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
     1268    0.002    0.000    0.002    0.000 encoder.py:104(__init__)
      634    0.002    0.000    0.007    0.000 jsonutil.py:108(json_default)
      763    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      635    0.002    0.000    0.003    0.000 threading.py:1162(is_alive)
     1705    0.002    0.000    0.005    0.000 artist.py:405(pchanged)
      200    0.002    0.000    0.013    0.000 iostream.py:500(write)
     2160    0.002    0.000    0.002    0.000 bunch.py:11(__getattr__)
     1828    0.002    0.000    0.003    0.000 lines.py:1222(set_xdata)
      863    0.001    0.000    0.011    0.000 transforms.py:326(xmin)
  752/746    0.001    0.000    0.005    0.000 traitlets.py:608(_validate)
      293    0.001    0.000    0.006    0.000 markers.py:295(_set_marker)
2378/1352    0.001    0.000    0.007    0.000 {built-in method builtins.hash}
     2384    0.001    0.000    0.003    0.000 figure.py:46(_stale_figure_callback)
      303    0.001    0.000    0.097    0.000 widget.py:734(_send)
  378/367    0.001    0.000    0.219    0.001 traitlets.py:579(set)
      317    0.001    0.000    0.001    0.000 {method 'hexdigest' of '_hashlib.HMAC' objects}
  319/314    0.001    0.000    0.002    0.000 widget.py:73(_separate_buffers)
      317    0.001    0.000    0.002    0.000 session.py:597(msg_id)
  762/320    0.001    0.000    0.002    0.000 transforms.py:180(_invalidate_internal)
     2558    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      144    0.001    0.000    0.044    0.000 transforms.py:662(union)
      374    0.001    0.000    0.017    0.000 text.py:162(update)
      887    0.001    0.000    0.008    0.000 transforms.py:331(ymin)
      897    0.001    0.000    0.008    0.000 transforms.py:341(ymax)
      176    0.001    0.000    0.013    0.000 transforms.py:1426(__sub__)
      317    0.001    0.000    0.001    0.000 {method 'replace' of 'datetime.datetime' objects}
      605    0.001    0.000    0.001    0.000 std.py:233(__call__)
      863    0.001    0.000    0.008    0.000 transforms.py:336(xmax)
    436/4    0.001    0.000    0.248    0.062 artist.py:32(draw_wrapper)
 1560/792    0.001    0.000    0.002    0.000 transforms.py:2409(<lambda>)
      458    0.001    0.000    0.002    0.000 font_manager.py:844(set_stretch)
      368    0.001    0.000    0.003    0.000 transforms.py:2351(__init__)
       88    0.001    0.000    0.043    0.000 axis.py:1279(get_minorticklocs)
      842    0.001    0.000    0.020    0.000 transforms.py:2417(transform_affine)
      192    0.001    0.000    0.006    0.000 font_manager.py:1248(findfont)
      303    0.001    0.000    0.003    0.000 widget.py:644(_should_send_property)
      317    0.001    0.000    0.003    0.000 hmac.py:122(copy)
     2824    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      730    0.001    0.000    0.003    0.000 ticker.py:542(_format_maybe_minus_and_locale)
       88    0.001    0.000    0.088    0.001 axis.py:1085(<listcomp>)
  348/337    0.001    0.000    0.214    0.001 traitlets.py:1218(_notify_trait)
  368/100    0.001    0.000    0.033    0.000 traitlets.py:1567(trait_defaults)
      388    0.001    0.000    0.011    0.000 transforms.py:822(from_extents)
      317    0.001    0.000    0.007    0.000 session.py:641(msg_header)
      176    0.001    0.000    0.009    0.000 axis.py:1326(_get_tick_label_size)
      103    0.001    0.000    0.003    0.000 std.py:1445(format_dict)
      363    0.001    0.000    0.002    0.000 traitlets.py:617(_cross_validate)
       36    0.001    0.000    0.261    0.007 axis.py:1090(get_tightbbox)
      145    0.001    0.000    0.002    0.000 artist.py:1138(update_from)
      706    0.001    0.000    0.018    0.000 axis.py:1985(getter)
      774    0.001    0.000    0.001    0.000 re.py:288(_compile)
      458    0.001    0.000    0.002    0.000 font_manager.py:807(set_style)
     3048    0.001    0.000    0.001    0.000 _base.py:769(<genexpr>)
     1178    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      244    0.001    0.000    0.004    0.000 axis.py:514(update_position)
      572    0.001    0.000    0.001    0.000 transforms.py:356(intervalx)
      317    0.001    0.000    0.003    0.000 session.py:199(utcnow)
      176    0.001    0.000    0.002    0.000 _methods.py:274(_ptp)
      495    0.001    0.000    0.024    0.000 artist.py:1159(set)
      317    0.001    0.000    0.026    0.000 iostream.py:281(send_multipart)
      178    0.001    0.000    0.008    0.000 _methods.py:125(_clip)
     1514    0.001    0.000    0.003    0.000 artist.py:242(convert_xunits)
      635    0.001    0.000    0.002    0.000 threading.py:1095(_wait_for_tstate_lock)
       96    0.001    0.000    0.018    0.000 text.py:115(__init__)
     1281    0.001    0.000    0.002    0.000 text.py:1149(set_x)
      843    0.001    0.000    0.003    0.000 transforms.py:2421(transform_non_affine)
       74    0.001    0.000    0.005    0.000 path.py:596(get_extents)
      176    0.001    0.000    0.071    0.000 ticker.py:2116(tick_values)
  172/164    0.001    0.000    0.001    0.000 spines.py:330(get_spine_transform)
       42    0.001    0.000    0.004    0.000 lines.py:649(recache)
       13    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      285    0.001    0.000    0.001    0.000 __init__.py:65(check_isinstance)
      758    0.001    0.000    0.015    0.000 _base.py:779(viewLim)
      979    0.001    0.000    0.002    0.000 lines.py:1234(set_ydata)
     1268    0.001    0.000    0.002    0.000 hmac.py:117(update)
      177    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
      499    0.001    0.000    0.003    0.000 markers.py:237(_recache)
      774    0.001    0.000    0.002    0.000 ticker.py:253(fix_minus)
